name,domain,search_url,optout_url,country,method,requirements,notes,search_pattern,result_selector,detail_selector
CENGAGE LEARNING Inc,gale.com,https://www.gale.com/search?q={query},https://www.gale.com/privacy/statement,US,form,"name, email",Data broker registered in US state registries,,,
Censia,censia.com,https://www.censia.com/search?q={query},https://www.censia.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
"Checkpeople, LLC",checkpeople.com,https://www.checkpeople.com/search?q={query},https://www.checkpeople.com/do-not-sell-info,US,form,"name, address, phone",Data broker registered in US state registries,,,
"Chex Systems, Inc.",worldpay.com,https://www.worldpay.com/search?q={query},https://worldpay.com/optout,US,form,"name, email",Data broker registered in US state registries,,,
CHOREOGRAPH LLC,choreograph.com,https://www.choreograph.com/search?q={query},https://www.choreograph.com/global-privacy-policy/global-privacy-policy-english,US,form,"name, email",Data broker registered in US state registries,,,
CIC MORTGAGE CREDIT Inc.,ciccredit.com,https://www.ciccredit.com/search?q={query},https://www.ciccredit.com/information-security-policy/,US,form,"name, email",Data broker registered in US state registries,,,
CISION US Inc,cision.com,https://www.cision.com/search?q={query},https://www.cision.com/legal/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
CITYDATA Inc.,citydata.ai,https://www.citydata.ai/search?q={query},https://www.citydata.ai/privacy/do_not_sell_personal_information/,US,form,"name, email",Data broker registered in US state registries,,,
"Civil Data Research, LLC",searchpublicrecords.com,https://www.searchpublicrecords.com/search?q={query},https://www.searchpublicrecords.com/help-center/privacy,US,form,"name, location",Data broker registered in US state registries,,,
CIVIS ANALYTICS Inc,civisanalytics.com,https://www.civisanalytics.com/search?q={query},https://www.civisanalytics.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
Claritas,claritas.com,https://www.claritas.com/search?q={query},https://www.claritas.com/privacy-legal/,US,form,"name, email",Data broker registered in US state registries,,,
"Clarity Services, Inc",experianverify.com,https://www.experianverify.com/search?q={query},https://www.experianverify.com/privacy,US,form,"name, email",Data broker registered in US state registries,,,
CLAY LABS LLC,clay.com,https://www.clay.com/search?q={query},https://www.clay.com/privacy,US,form,"name, email",Data broker registered in US state registries,,,
CLEARCOMPANY LLC,clearcompany.com,https://www.clearcompany.com/search?q={query},https://www.clearcompany.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
"Clearview Ai, Inc.",clearview.ai,https://www.clearview.ai/search?q={query},https://www.clearview.ai/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
Clickagy,zoominfo.com,https://www.zoominfo.com/search?q={query},https://www.zoominfo.com/legal/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
"CO2 Ventures, LLC",oncoreleads.com,https://www.oncoreleads.com/search?q={query},https://www.oncoreleads.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
Cognism,cognism.com,https://www.cognism.com/search?q={query},https://www.cognism.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
